n,q1,q2,hazard_10_reachable,hazard_01_reachable,pred_10_reachable,pred_01_reachable,p2_holds
3,1,3,1,0,1,0,1
3,2,2,0,0,0,0,1
3,2,3,1,0,1,0,1
3,3,1,0,1,0,1,1
3,3,2,0,1,0,1,1
3,3,3,0,0,0,0,1
4,1,4,1,0,1,0,1
4,2,3,1,0,1,0,1
4,2,4,1,0,1,0,1
4,3,2,0,1,0,1,1
4,3,3,0,0,0,0,1
4,3,4,1,0,1,0,1
4,4,1,0,1,0,1,1
4,4,2,0,1,0,1,1
4,4,3,0,1,0,1,1
4,4,4,0,0,0,0,1
5,1,5,1,0,1,0,1
5,2,4,1,0,1,0,1
5,2,5,1,0,1,0,1
5,3,3,0,0,0,0,1
5,3,4,1,0,1,0,1
5,3,5,1,0,1,0,1
5,4,2,0,1,0,1,1
5,4,3,0,1,0,1,1
5,4,4,0,0,0,0,1
5,4,5,1,0,1,0,1
5,5,1,0,1,0,1,1
5,5,2,0,1,0,1,1
5,5,3,0,1,0,1,1
5,5,4,0,1,0,1,1
5,5,5,0,0,0,0,1
6,1,6,1,0,1,0,1
6,2,5,1,0,1,0,1
6,2,6,1,0,1,0,1
6,3,4,1,0,1,0,1
6,3,5,1,0,1,0,1
6,3,6,1,0,1,0,1
6,4,3,0,1,0,1,1
6,4,4,0,0,0,0,1
6,4,5,1,0,1,0,1
6,4,6,1,0,1,0,1
6,5,2,0,1,0,1,1
6,5,3,0,1,0,1,1
6,5,4,0,1,0,1,1
6,5,5,0,0,0,0,1
6,5,6,1,0,1,0,1
6,6,1,0,1,0,1,1
6,6,2,0,1,0,1,1
6,6,3,0,1,0,1,1
6,6,4,0,1,0,1,1
6,6,5,0,1,0,1,1
6,6,6,0,0,0,0,1
7,1,7,1,0,1,0,1
7,2,6,1,0,1,0,1
7,2,7,1,0,1,0,1
7,3,5,1,0,1,0,1
7,3,6,1,0,1,0,1
7,3,7,1,0,1,0,1
7,4,4,0,0,0,0,1
7,4,5,1,0,1,0,1
7,4,6,1,0,1,0,1
7,4,7,1,0,1,0,1
7,5,3,0,1,0,1,1
7,5,4,0,1,0,1,1
7,5,5,0,0,0,0,1
7,5,6,1,0,1,0,1
7,5,7,1,0,1,0,1
7,6,2,0,1,0,1,1
7,6,3,0,1,0,1,1
7,6,4,0,1,0,1,1
7,6,5,0,1,0,1,1
7,6,6,0,0,0,0,1
7,6,7,1,0,1,0,1
7,7,1,0,1,0,1,1
7,7,2,0,1,0,1,1
7,7,3,0,1,0,1,1
7,7,4,0,1,0,1,1
7,7,5,0,1,0,1,1
7,7,6,0,1,0,1,1
7,7,7,0,0,0,0,1
