polarity,k,earth_max_rounds,leo_enabled,offset,n,earth_success_rate,wilson_lo,wilson_hi,degenerate,commit_latency_mean_s,commit_latency_n,livelock_count,censored_count
earth_high,3,1,1,-10.0,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,1,1,-5.0,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,1,1,-2.0,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,1,1,-1.0,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,1,1,-0.5,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,1,1,-0.2,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,1,1,-0.05,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,1,1,0.05,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,1,1,0.2,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,1,1,0.5,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,1,1,1.0,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,1,1,2.0,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,1,1,30.0,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,1,1,90.0,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,5,1,-10.0,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,5,1,-5.0,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,5,1,-2.0,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,5,1,-1.0,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,5,1,-0.5,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,5,1,-0.2,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,5,1,-0.05,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,5,1,0.05,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,5,1,0.2,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,5,1,0.5,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,5,1,1.0,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,5,1,2.0,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,5,1,30.0,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,3,5,1,90.0,20,1.000000,0.838870,1.000000,1,0.240895,20,0,0
earth_high,5,1,1,-10.0,20,0.000000,0.000000,0.161130,1,,0,0,0
earth_high,5,1,1,-5.0,20,0.000000,0.000000,0.161130,1,,0,0,0
earth_high,5,1,1,-2.0,20,0.000000,0.000000,0.161130,1,,0,0,0
earth_high,5,1,1,-1.0,20,0.950000,0.763864,0.991119,0,0.186263,19,0,0
