scenario,global_timeout_s,blackout_duration_s,n_seeds,global_during_rate_mean,global_during_rate_ci95,global_post_rate_mean,global_post_rate_ci95,first_success_after_blackout_s_mean,first_success_after_blackout_s_ci95,first_success_after_blackout_s_n,avg_global_latency_s_mean,avg_global_latency_s_ci95,avg_global_latency_s_n
blackout_only,120.0,300.0,50,1.000000,0.000000,1.000000,0.000000,61.654943,0.006767,50,0.183072,0.000337,50
blackout_only,120.0,900.0,50,1.000000,0.000000,1.000000,0.000000,62.570834,0.009904,50,0.183310,0.000318,50
blackout_only,120.0,1800.0,50,1.000000,0.000000,1.000000,0.000000,3.849618,0.010485,50,0.183082,0.000363,50
blackout_only,240.0,300.0,50,1.000000,0.000000,1.000000,0.000000,61.654943,0.006767,50,0.183072,0.000337,50
blackout_only,240.0,900.0,50,1.000000,0.000000,1.000000,0.000000,62.570834,0.009904,50,0.183310,0.000318,50
blackout_only,240.0,1800.0,50,1.000000,0.000000,1.000000,0.000000,3.849618,0.010485,50,0.183082,0.000363,50
blackout_only,360.0,300.0,50,1.000000,0.000000,1.000000,0.000000,61.654943,0.006767,50,0.183072,0.000337,50
blackout_only,360.0,900.0,50,1.000000,0.000000,1.000000,0.000000,62.570834,0.009904,50,0.183310,0.000318,50
blackout_only,360.0,1800.0,50,1.000000,0.000000,1.000000,0.000000,3.849618,0.010485,50,0.183082,0.000363,50
blackout_only,500.0,300.0,50,1.000000,0.000000,1.000000,0.000000,61.654943,0.006767,50,0.183072,0.000337,50
blackout_only,500.0,900.0,50,1.000000,0.000000,1.000000,0.000000,62.570834,0.009904,50,0.183310,0.000318,50
blackout_only,500.0,1800.0,50,1.000000,0.000000,1.000000,0.000000,3.849618,0.010485,50,0.183082,0.000363,50
blackout_only,720.0,300.0,50,1.000000,0.000000,1.000000,0.000000,61.654943,0.006767,50,0.183072,0.000337,50
blackout_only,720.0,900.0,50,1.000000,0.000000,1.000000,0.000000,62.570834,0.009904,50,0.183310,0.000318,50
blackout_only,720.0,1800.0,50,1.000000,0.000000,1.000000,0.000000,3.849618,0.010485,50,0.183082,0.000363,50
with_repeater,120.0,300.0,50,1.000000,0.000000,1.000000,0.000000,61.650491,0.005661,50,0.183203,0.000432,50
with_repeater,120.0,900.0,50,1.000000,0.000000,1.000000,0.000000,62.564359,0.007161,50,0.183135,0.000405,50
with_repeater,120.0,1800.0,50,1.000000,0.000000,1.000000,0.000000,3.847300,0.009302,50,0.183157,0.000363,50
with_repeater,240.0,300.0,50,1.000000,0.000000,1.000000,0.000000,61.650491,0.005661,50,0.183203,0.000432,50
with_repeater,240.0,900.0,50,1.000000,0.000000,1.000000,0.000000,62.564359,0.007161,50,0.183135,0.000405,50
with_repeater,240.0,1800.0,50,1.000000,0.000000,1.000000,0.000000,3.847300,0.009302,50,0.183157,0.000363,50
with_repeater,360.0,300.0,50,1.000000,0.000000,1.000000,0.000000,61.650491,0.005661,50,0.183203,0.000432,50
with_repeater,360.0,900.0,50,1.000000,0.000000,1.000000,0.000000,62.564359,0.007161,50,0.183135,0.000405,50
with_repeater,360.0,1800.0,50,1.000000,0.000000,1.000000,0.000000,3.847300,0.009302,50,0.183157,0.000363,50
with_repeater,500.0,300.0,50,1.000000,0.000000,1.000000,0.000000,61.650491,0.005661,50,0.183203,0.000432,50
with_repeater,500.0,900.0,50,1.000000,0.000000,1.000000,0.000000,62.564359,0.007161,50,0.183135,0.000405,50
with_repeater,500.0,1800.0,50,1.000000,0.000000,1.000000,0.000000,3.847300,0.009302,50,0.183157,0.000363,50
with_repeater,720.0,300.0,50,1.000000,0.000000,1.000000,0.000000,61.650491,0.005661,50,0.183203,0.000432,50
with_repeater,720.0,900.0,50,1.000000,0.000000,1.000000,0.000000,62.564359,0.007161,50,0.183135,0.000405,50
with_repeater,720.0,1800.0,50,1.000000,0.000000,1.000000,0.000000,3.847300,0.009302,50,0.183157,0.000363,50
