scenario,mars_base_latency_s,blackout_start_s,blackout_duration_s,sim_end_s,reconcile_interval_s,global_timeout_s,global_max_rounds,seed,earth_success,earth_total,mars_success,mars_total,global_pre_success,global_pre_total,global_during_success,global_during_total,global_post_success,global_post_total,phase_timeout_s,pre_window_s,post_window_s,temporally_scaled,first_success_after_blackout_s,avg_global_latency_s,earth_local_avg_latency_s,earth_local_p95_latency_s,mars_local_avg_latency_s,mars_local_p95_latency_s,global_phase1_responses_earth,global_phase1_responses_leo,global_phase1_responses_moon,global_phase1_responses_mars,global_phase2_responses_earth,global_phase2_responses_leo,global_phase2_responses_moon,global_phase2_responses_mars,network_src_sent_earth,network_src_sent_leo,network_src_sent_moon,network_src_sent_mars,network_src_avg_oneway_s_earth,network_src_avg_oneway_s_leo,network_src_avg_oneway_s_moon,network_src_avg_oneway_s_mars
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,40,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,732.448265,368.019548,0.250865,0.263779,0.021054,0.022686,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271639,0.020671,1.278741,0.284767
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,40,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,207.888299,379.364546,0.250513,0.263540,0.021086,0.022666,45,9,9,24,40,8,8,24,38741,17,17,25767,0.305100,0.019818,1.278725,0.362486
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,41,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,734.397987,369.224131,0.251002,0.263898,0.021035,0.022599,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271681,0.020029,1.279585,0.284646
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,41,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,230.316378,383.501177,0.250848,0.263784,0.021088,0.022649,45,9,9,24,40,8,8,24,38735,17,17,25767,0.305024,0.019602,1.279568,0.363270
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,42,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,743.234090,368.678786,0.250899,0.263070,0.021063,0.022610,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271424,0.020558,1.279183,0.284884
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,42,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,214.564375,382.145907,0.251200,0.263847,0.021021,0.022650,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304950,0.020121,1.280884,0.363742
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,43,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,733.707009,368.406236,0.250978,0.263411,0.021063,0.022679,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271532,0.019321,1.279434,0.285726
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,43,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,229.684623,383.477787,0.251000,0.263633,0.021082,0.022675,45,9,9,24,40,8,8,24,38735,17,17,25767,0.305285,0.020031,1.280742,0.361223
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,44,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,733.495819,366.799505,0.250978,0.264097,0.021083,0.022689,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271352,0.020312,1.282456,0.284509
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,44,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,221.253676,381.954325,0.251384,0.264214,0.021086,0.022707,45,9,9,24,40,8,8,24,38735,17,17,25767,0.305340,0.021107,1.282202,0.361736
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,45,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,730.999314,369.352295,0.251057,0.263899,0.021019,0.022571,45,9,9,21,35,7,7,18,38720,16,16,25761,0.270878,0.020083,1.276915,0.285662
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,45,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,208.750590,379.257475,0.250994,0.263558,0.021016,0.022598,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304154,0.019036,1.277058,0.361468
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,46,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,738.024242,368.685932,0.251171,0.263739,0.021073,0.022693,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271446,0.018564,1.280549,0.286334
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,46,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,218.271867,381.021704,0.250685,0.263553,0.021071,0.022655,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304418,0.018093,1.281239,0.361306
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,47,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,736.720706,369.863208,0.251068,0.263866,0.021073,0.022673,45,9,9,21,35,7,7,18,38720,16,16,25761,0.272255,0.021543,1.280249,0.285640
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,47,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,222.141258,383.784720,0.251149,0.263844,0.021092,0.022708,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304983,0.021760,1.280168,0.364174
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,48,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,728.387387,368.204124,0.251228,0.263685,0.021069,0.022647,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271379,0.020224,1.278712,0.284350
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,48,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,208.214269,378.880302,0.251076,0.263137,0.021064,0.022677,45,9,9,24,40,8,8,24,38735,17,17,25767,0.303776,0.020061,1.278381,0.361209
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,49,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,733.491829,368.280786,0.250730,0.263628,0.021018,0.022544,45,9,9,21,35,7,7,18,38720,16,16,25761,0.272172,0.019832,1.280004,0.286531
