scenario,mars_base_latency_s,blackout_start_s,blackout_duration_s,sim_end_s,reconcile_interval_s,global_timeout_s,global_max_rounds,seed,earth_success,earth_total,mars_success,mars_total,global_pre_success,global_pre_total,global_during_success,global_during_total,global_post_success,global_post_total,phase_timeout_s,pre_window_s,post_window_s,temporally_scaled,first_success_after_blackout_s,avg_global_latency_s,earth_local_avg_latency_s,earth_local_p95_latency_s,mars_local_avg_latency_s,mars_local_p95_latency_s,global_phase1_responses_earth,global_phase1_responses_leo,global_phase1_responses_moon,global_phase1_responses_mars,global_phase2_responses_earth,global_phase2_responses_leo,global_phase2_responses_moon,global_phase2_responses_mars,network_src_sent_earth,network_src_sent_leo,network_src_sent_moon,network_src_sent_mars,network_src_avg_oneway_s_earth,network_src_avg_oneway_s_leo,network_src_avg_oneway_s_moon,network_src_avg_oneway_s_mars
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,40,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.325391,0.360062,0.250966,0.263580,0.021043,0.022688,180,36,36,45,180,36,36,87,39560,72,72,25908,0.958283,0.019343,1.279958,1.253921
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,40,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.319311,0.360114,0.250906,0.263586,0.021092,0.022765,180,36,36,50,180,36,36,99,39560,72,72,25926,1.071636,0.020002,1.279542,1.448958
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,41,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.323308,0.362538,0.251165,0.264279,0.021039,0.022585,180,36,36,44,180,36,36,87,39560,72,72,25908,0.960045,0.020187,1.279434,1.254119
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,41,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.347542,0.362413,0.250862,0.263708,0.021077,0.022680,180,36,36,53,180,36,36,99,39560,72,72,25926,1.069138,0.019884,1.279324,1.448944
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,42,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.344042,0.361177,0.251007,0.263504,0.021069,0.022612,180,36,36,44,180,36,36,87,39560,72,72,25908,0.961181,0.019849,1.278461,1.255671
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,42,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.323272,0.358204,0.250658,0.263106,0.021074,0.022703,180,36,36,50,180,36,36,99,39560,72,72,25926,1.068276,0.020288,1.278971,1.450611
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,43,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.330245,0.359398,0.250804,0.263904,0.021061,0.022594,180,36,36,45,180,36,36,87,39560,72,72,25908,0.961928,0.019734,1.279985,1.251035
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,43,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.346794,0.361215,0.250869,0.263135,0.021067,0.022648,180,36,36,49,180,36,36,99,39560,72,72,25926,1.069222,0.020057,1.280060,1.449872
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,44,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.333142,0.359828,0.250731,0.263619,0.021098,0.022699,180,36,36,43,180,36,36,87,39560,72,72,25908,0.959283,0.019921,1.279294,1.254045
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,44,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.336077,0.365277,0.250905,0.263875,0.021099,0.022665,180,36,36,60,180,36,36,99,39560,72,72,25926,1.068182,0.019601,1.280459,1.447084
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,45,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.376436,0.360615,0.250745,0.263198,0.021058,0.022624,180,36,36,44,180,36,36,87,39560,72,72,25908,0.961849,0.019960,1.280523,1.252935
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,45,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.327293,0.361666,0.251185,0.263996,0.021045,0.022677,180,36,36,47,180,36,36,99,39560,72,72,25926,1.068773,0.019485,1.279581,1.450458
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,46,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.347746,0.362317,0.250757,0.262963,0.021087,0.022617,180,36,36,51,180,36,36,87,39560,72,72,25908,0.960483,0.020144,1.278989,1.255857
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,46,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.338378,0.363427,0.250814,0.263176,0.021063,0.022658,180,36,36,49,180,36,36,99,39560,72,72,25926,1.067448,0.019667,1.279882,1.450707
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,47,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.392572,0.365142,0.251011,0.264103,0.021103,0.022658,180,36,36,46,180,36,36,87,39560,72,72,25908,0.958776,0.020424,1.281097,1.253556
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,47,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.359961,0.361696,0.251089,0.263792,0.021065,0.022635,180,36,36,47,180,36,36,99,39560,72,72,25926,1.069844,0.020077,1.279771,1.449160
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,48,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.277733,0.359689,0.251073,0.264011,0.021106,0.022649,180,36,36,47,180,36,36,87,39560,72,72,25908,0.961153,0.020040,1.279463,1.254021
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,48,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.301975,0.361679,0.251026,0.263954,0.021074,0.022673,180,36,36,58,180,36,36,99,39560,72,72,25926,1.069552,0.019561,1.279788,1.451365
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,49,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.333252,0.359894,0.251134,0.263368,0.021075,0.022703,180,36,36,43,180,36,36,87,39560,72,72,25908,0.960693,0.020373,1.279817,1.255640
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,49,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.336493,0.361215,0.250818,0.263459,0.021101,0.022653,180,36,36,46,180,36,36,99,39560,72,72,25926,1.067968,0.020188,1.279602,1.451945
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,50,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.383285,0.360676,0.251103,0.263752,0.021039,0.022635,180,36,36,40,180,36,36,87,39560,72,72,25908,0.963210,0.019922,1.279640,1.252204
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,50,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.344606,0.359832,0.251190,0.263753,0.021061,0.022671,180,36,36,43,180,36,36,99,39560,72,72,25926,1.068853,0.019776,1.280753,1.451294
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,51,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.271060,0.359273,0.251229,0.263664,0.021099,0.022704,180,36,36,41,180,36,36,87,39560,72,72,25908,0.961183,0.020172,1.281001,1.254163
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,51,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.300194,0.360426,0.251194,0.264480,0.021115,0.022807,180,36,36,50,180,36,36,99,39560,72,72,25926,1.069745,0.020026,1.278533,1.448720
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,52,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.388915,0.361868,0.250719,0.263243,0.021061,0.022704,180,36,36,46,180,36,36,87,39560,72,72,25908,0.959685,0.020321,1.280573,1.252789
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,52,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.349765,0.360805,0.250991,0.264151,0.021048,0.022693,180,36,36,51,180,36,36,99,39560,72,72,25926,1.070465,0.020065,1.279951,1.449202
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,53,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.327874,0.360708,0.250875,0.264316,0.021075,0.022644,180,36,36,37,180,36,36,87,39560,72,72,25908,0.959063,0.019993,1.280125,1.250131
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,53,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.231382,0.357028,0.251049,0.264320,0.021065,0.022683,180,36,36,54,180,36,36,99,39560,72,72,25926,1.069570,0.019397,1.279618,1.449363
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,54,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.374629,0.360737,0.250865,0.263463,0.021093,0.022715,180,36,36,47,180,36,36,87,39560,72,72,25908,0.961525,0.019797,1.281130,1.253761
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,54,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.304232,0.357813,0.250920,0.263842,0.021080,0.022668,180,36,36,58,180,36,36,99,39560,72,72,25926,1.069108,0.020250,1.279850,1.448214
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,55,1924,1924,2143,2143,8,8,3,3,25,25,500.000000,930.000000,3100.000000,1,94.279220,0.360509,0.250889,0.263624,0.021053,0.022673,180,36,36,55,180,36,36,87,39560,72,72,25908,0.960334,0.020350,1.279498,1.256430
