scenario,mars_base_latency_s,blackout_duration_s,n_seeds,earth_success_rate_mean,earth_success_rate_ci95,mars_success_rate_mean,mars_success_rate_ci95,global_pre_rate_mean,global_pre_rate_ci95,global_during_rate_mean,global_during_rate_ci95,global_post_rate_mean,global_post_rate_ci95,first_success_after_blackout_s_mean,first_success_after_blackout_s_ci95,first_success_after_blackout_s_n,avg_global_latency_s_mean,avg_global_latency_s_ci95,avg_global_latency_s_n,earth_local_avg_latency_s_mean,earth_local_avg_latency_s_ci95,earth_local_p95_latency_s_mean,earth_local_p95_latency_s_ci95,mars_local_avg_latency_s_mean,mars_local_avg_latency_s_ci95,mars_local_p95_latency_s_mean,mars_local_p95_latency_s_ci95,global_phase1_earth_share_mean,global_phase1_earth_share_ci95,global_phase2_earth_share_mean,global_phase2_earth_share_ci95,network_src_sent_earth_share_mean,network_src_sent_earth_share_ci95
blackout_only,186.0,300.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,94.329808,0.011301,50,0.360924,0.000453,50,0.250971,0.000045,0.263692,0.000095,0.021073,0.000007,0.022651,0.000012,0.606731,0.002582,0.530973,0.000000,0.602938,0.000000
blackout_only,186.0,900.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,96.130448,0.013038,50,0.360838,0.000522,50,0.251007,0.000043,0.263685,0.000097,0.021067,0.000007,0.022660,0.000015,0.622599,0.003065,0.555556,0.000000,0.603214,0.000000
blackout_only,186.0,1800.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,38.657061,0.015742,50,0.360708,0.000539,50,0.251027,0.000054,0.263717,0.000101,0.021065,0.000006,0.022663,0.000013,0.646567,0.002348,0.594059,0.000000,0.603601,0.000000
blackout_only,750.0,300.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,42.633402,0.017841,50,0.361006,0.000386,50,0.251010,0.000037,0.263743,0.000060,0.021069,0.000004,0.022655,0.000009,0.615333,0.002084,0.544715,0.000000,0.603033,0.000002
blackout_only,750.0,900.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,44.438392,0.019150,50,0.361040,0.000410,50,0.251009,0.000035,0.263735,0.000065,0.021071,0.000004,0.022653,0.000008,0.626473,0.002023,0.561709,0.000000,0.603118,0.000008
blackout_only,750.0,1800.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,107.338564,0.020118,50,0.361200,0.000312,50,0.251013,0.000034,0.263773,0.000062,0.021070,0.000003,0.022651,0.000009,0.634771,0.001864,0.575182,0.000219,0.603261,0.000005
blackout_only,1342.0,300.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,91.635304,0.022071,50,0.360845,0.000277,50,0.251012,0.000024,0.263729,0.000040,0.021071,0.000003,0.022657,0.000006,0.612440,0.001463,0.540541,0.000000,0.602984,0.000002
blackout_only,1342.0,900.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,93.440741,0.022012,50,0.360839,0.000282,50,0.251004,0.000028,0.263723,0.000048,0.021068,0.000003,0.022652,0.000007,0.620445,0.001513,0.553522,0.000000,0.603054,0.000005
blackout_only,1342.0,1800.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,35.968845,0.021780,50,0.360828,0.000232,50,0.251011,0.000025,0.263750,0.000049,0.021069,0.000003,0.022650,0.000006,0.627943,0.001348,0.563380,0.000000,0.603137,0.000004
with_repeater,186.0,300.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,94.324849,0.010234,50,0.360869,0.000531,50,0.251003,0.000044,0.263704,0.000110,0.021069,0.000006,0.022664,0.000013,0.595276,0.002702,0.512821,0.000000,0.602773,0.000000
with_repeater,186.0,900.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,96.133081,0.012590,50,0.360971,0.000516,50,0.251007,0.000045,0.263704,0.000107,0.021068,0.000006,0.022661,0.000012,0.596062,0.002694,0.512821,0.000000,0.602773,0.000000
with_repeater,186.0,1800.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,38.662657,0.015310,50,0.360872,0.000523,50,0.250983,0.000045,0.263741,0.000101,0.021069,0.000006,0.022662,0.000012,0.595400,0.002389,0.512821,0.000000,0.602773,0.000000
with_repeater,750.0,300.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,42.635700,0.017484,50,0.361205,0.000398,50,0.251017,0.000042,0.263700,0.000066,0.021070,0.000004,0.022657,0.000008,0.606909,0.002077,0.531746,0.000000,0.602973,0.000003
with_repeater,750.0,900.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,44.439137,0.019021,50,0.360977,0.000363,50,0.251008,0.000040,0.263718,0.000064,0.021069,0.000004,0.022653,0.000009,0.602805,0.001800,0.526706,0.000000,0.602916,0.000010
with_repeater,750.0,1800.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,107.326589,0.020496,50,0.361049,0.000322,50,0.251018,0.000037,0.263735,0.000056,0.021068,0.000004,0.022652,0.000009,0.602660,0.001779,0.524695,0.000186,0.602887,0.000007
with_repeater,1342.0,300.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,91.639288,0.020803,50,0.360718,0.000263,50,0.251006,0.000027,0.263714,0.000044,0.021071,0.000003,0.022661,0.000007,0.606273,0.001512,0.531622,0.000000,0.602932,0.000003
with_repeater,1342.0,900.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,93.443656,0.021707,50,0.360854,0.000259,50,0.251002,0.000026,0.263703,0.000045,0.021071,0.000003,0.022663,0.000007,0.606119,0.001387,0.530237,0.000000,0.602922,0.000005
with_repeater,1342.0,1800.0,50,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,35.970605,0.025097,50,0.360710,0.000274,50,0.250994,0.000029,0.263695,0.000049,0.021069,0.000004,0.022662,0.000007,0.603999,0.001426,0.527183,0.000000,0.602906,0.000004
