scenario,topology,tier_index,tier_name,mars_base_latency_s,blackout_duration_s,seed,pre_success,pre_total,during_success,during_total,post_success,post_total,avg_latency_s,first_post_blackout_s,earth_local_success,earth_local_total,mars_local_success,mars_local_total
blackout_only,sparse,0,mars,186.0,900.0,40,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,40,5,5,7,7,20,20,5.131734,6.701439,1778,1778,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,40,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,40,5,5,8,8,21,21,0.185250,62.566834,1778,1778,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,40,0,1,0,2,0,3,,,1778,1778,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,40,5,5,7,7,20,20,5.132428,6.709694,1778,1778,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,40,0,1,0,2,0,3,,,1778,1778,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,40,5,5,8,8,21,21,0.184056,62.573825,1778,1778,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,41,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,41,5,5,7,7,20,20,5.130487,6.695985,1778,1778,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,41,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,41,5,5,8,8,21,21,0.182944,62.550779,1778,1778,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,41,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,41,5,5,7,7,20,20,5.129670,6.656672,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,41,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,41,5,5,8,8,21,21,0.182766,62.547364,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,42,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,42,5,5,7,7,20,20,5.131645,6.684516,1777,1777,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,42,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,42,5,5,8,8,21,21,0.182883,62.558123,1777,1777,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,42,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,42,5,5,7,7,20,20,5.130221,6.662729,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,42,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,42,5,5,8,8,21,21,0.185091,62.564562,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,43,0,1,0,2,0,3,,,1777,1777,1980,1980
